Concurso,Data,Local Realizacao,Rateio Processamento,Acumulou,Valor Acumulado,Dezenas,Premiacao
165,1999-05-01T00:00:00-03:00,,False,False,0,"10, 19, 23, 35, 39, 56","Sena (2 ganhadores), Quina (75 ganhadores), Quadra (5378 ganhadores)"
166,1999-05-08T00:00:00-03:00,,False,True,982751.54,"12, 13, 22, 57, 59, 60","Sena (0 ganhadores), Quina (47 ganhadores), Quadra (3371 ganhadores)"
167,1999-05-15T00:00:00-03:00,,False,False,0,"01, 11, 28, 33, 38, 48","Sena (1 ganhadores), Quina (82 ganhadores), Quadra (4997 ganhadores)"
168,1999-05-22T00:00:00-03:00,,False,True,906836.93,"02, 09, 31, 35, 45, 50","Sena (0 ganhadores), Quina (48 ganhadores), Quadra (3528 ganhadores)"
169,1999-05-29T00:00:00-03:00,,False,True,1973804.91,"01, 13, 21, 37, 51, 52","Sena (0 ganhadores), Quina (65 ganhadores), Quadra (4489 ganhadores)"
170,1999-06-05T00:00:00-03:00,,False,True,13643095.71,"07, 41, 46, 51, 55, 58","Sena (0 ganhadores), Quina (50 ganhadores), Quadra (6257 ganhadores)"
171,1999-06-12T00:00:00-03:00,,False,False,0,"04, 27, 40, 43, 46, 54","Sena (1 ganhadores), Quina (134 ganhadores), Quadra (10378 ganhadores)"
172,1999-06-19T00:00:00-03:00,,False,True,1033736.7,"10, 14, 26, 35, 36, 49","Sena (0 ganhadores), Quina (64 ganhadores), Quadra (4592 ganhadores)"
173,1999-06-26T00:00:00-03:00,,False,False,0,"17, 28, 29, 42, 49, 50","Sena (1 ganhadores), Quina (40 ganhadores), Quadra (3610 ganhadores)"
174,1999-07-03T00:00:00-03:00,,False,True,942313.58,"11, 22, 23, 36, 52, 59","Sena (0 ganhadores), Quina (44 ganhadores), Quadra (3217 ganhadores)"
175,1999-07-10T00:00:00-03:00,,False,True,2049582.99,"01, 10, 13, 20, 42, 50","Sena (0 ganhadores), Quina (114 ganhadores), Quadra (7058 ganhadores)"
176,1999-07-17T00:00:00-03:00,,False,True,3291794.61,"01, 03, 04, 28, 45, 53","Sena (0 ganhadores), Quina (62 ganhadores), Quadra (5405 ganhadores)"
177,1999-07-24T00:00:00-03:00,,False,True,4646890.81,"22, 35, 38, 39, 41, 59","Sena (0 ganhadores), Quina (52 ganhadores), Quadra (4408 ganhadores)"
178,1999-07-31T00:00:00-03:00,,False,False,0,"05, 15, 19, 26, 27, 33","Sena (1 ganhadores), Quina (198 ganhadores), Quadra (13086 ganhadores)"
179,1999-08-07T00:00:00-03:00,,False,True,962357.04,"05, 06, 23, 26, 27, 53","Sena (0 ganhadores), Quina (78 ganhadores), Quadra (5646 ganhadores)"
180,1999-08-14T00:00:00-03:00,,False,True,12143009.93,"06, 23, 29, 39, 51, 60","Sena (0 ganhadores), Quina (111 ganhadores), Quadra (6978 ganhadores)"
181,1999-08-21T00:00:00-03:00,,False,True,14573162.71,"01, 27, 33, 35, 51, 55","Sena (0 ganhadores), Quina (182 ganhadores), Quadra (11797 ganhadores)"
182,1999-08-28T00:00:00-03:00,,False,True,17428194.22,"03, 05, 10, 28, 46, 60","Sena (0 ganhadores), Quina (239 ganhadores), Quadra (17413 ganhadores)"
